district,crop_name,avg_yield_mt_ha,avg_production_mt
Rukum East,Wheat,2.89,9285.0
Rukum West,Barley,1.65,510.0
Rukum West,Black Gram,0.89,72.0
Rukum West,Buckwheat,1.12,28.0
Rukum West,Chickpea,1.18,45.0
Rukum West,Lentil,0.71,110.0
Rukum West,Maize,3.97,35340.0
Rukum West,Millet,1.37,625.0
Rukum West,Paddy,3.1,9449.0
Rukum West,Pigeon Pea,1.25,5.0
Rukum West,Potato,20.08,14317.0
Rukum West,Soybean,1.08,84.0
Rukum West,Sugarcane,21.2,106.0
Rukum West,Wheat,2.39,21713.0
Rupandehi,Barley,1.62,105.5
Rupandehi,Black Gram,1.1,62.0
Rupandehi,Chickpea,0.89,105.0
Rupandehi,Lentil,0.97,5280.0
Rupandehi,Maize,4.16,10985.0
Rupandehi,Millet,1.16,32.0
Rupandehi,Paddy,4.72,139187.0
Rupandehi,Pigeon Pea,0.93,323.0
Rupandehi,Potato,15.8,39421.0
Rupandehi,Soybean,1.23,16.0
Rupandehi,Sugarcane,46.44,16161.0
Rupandehi,Wheat,3.97,108490.0
Salyan,Barley,1.68,875.0
Salyan,Black Gram,1.2,156.0
Salyan,Buckwheat,0.9,27.0
Salyan,Chickpea,2.29,389.0
Salyan,Lentil,0.81,799.0
Salyan,Maize,4.23,74700.0
Salyan,Millet,1.2,1210.0
Salyan,Paddy,4.26,11654.0
Salyan,Pigeon Pea,1.29,3.0
Salyan,Potato,11.46,26759.0
Salyan,Soybean,1.3,2184.0
Salyan,Sugarcane,5.71,40.0
Salyan,Wheat,2.17,28528.0
Sankhuwasabha,Barley,1.3,17.55
Sankhuwasabha,Black Gram,0.92,565.8
Sankhuwasabha,Buckwheat,1.35,22.0
Sankhuwasabha,Lentil,1.2,18.0
Sankhuwasabha,Maize,2.45,30527.0
Sankhuwasabha,Millet,1.32,8803.0
Sankhuwasabha,Paddy,3.5,15188.0
Sankhuwasabha,Potato,15.5,42005.0
Sankhuwasabha,Soybean,0.82,328.0
Sankhuwasabha,Sugarcane,18.59,1018.0
Sankhuwasabha,Wheat,2.4,1714.0
Saptari,Barley,1.0,79.0
Saptari,Black Gram,1.06,767.0
Saptari,Chickpea,0.96,876.0
Saptari,Lentil,0.95,7232.0
Saptari,Maize,3.5,18025.0
Saptari,Millet,1.3,273.0
Saptari,Paddy,3.98,96170.5
Saptari,Pigeon Pea,0.97,787.0
Saptari,Potato,12.0,77676.0
Saptari,Soybean,1.4,14.0
Saptari,Sugarcane,20.0,5000.0
Saptari,Wheat,3.63,70543.0
Sarlahi,Barley,1.14,71.0
Sarlahi,Black Gram,0.98,343.0
Sarlahi,Chickpea,1.0,780.0
Sarlahi,Lentil,1.02,8045.0
Sarlahi,Maize,5.5,62700.0
Sarlahi,Millet,0.9,638.0
Sarlahi,Paddy,3.88,72155.0
Sarlahi,Pigeon Pea,1.0,3120.0
Sarlahi,Potato,15.71,44616.0
Sarlahi,Soybean,1.36,27.0
Sarlahi,Sugarcane,42.0,504000.0
Sarlahi,Wheat,3.36,78456.0
Sindhuli,Barley,1.69,22.0
Sindhuli,Black Gram,0.9,346.0
Sindhuli,Buckwheat,1.7,621.0
Sindhuli,Chickpea,1.16,79.0
Sindhuli,Lentil,1.23,325.0
Sindhuli,Maize,3.26,84701.0
Sindhuli,Millet,1.02,11059.0
Sindhuli,Paddy,4.06,25384.0
Sindhuli,Pigeon Pea,1.28,105.0
Sindhuli,Potato,18.02,47239.0
Sindhuli,Soybean,1.53,426.0
Sindhuli,Wheat,2.62,13645.0
Sindhupalchok,Barley,0.94,141.0
Sindhupalchok,Black Gram,0.95,1188.0
Sindhupalchok,Buckwheat,0.9,183.0
Sindhupalchok,Chickpea,1.05,179.0
Sindhupalchok,Lentil,0.99,198.0
Sindhupalchok,Maize,3.19,85146.0
Sindhupalchok,Millet,1.31,22756.0
Sindhupalchok,Paddy,3.48,12325.0
Sindhupalchok,Potato,19.1,80602.0
Sindhupalchok,Soybean,1.33,758.0
Sindhupalchok,Wheat,1.65,11034.0
Siraha,Barley,1.06,152.0
Siraha,Black Gram,1.08,778.0
Siraha,Chickpea,1.15,529.0
Siraha,Lentil,1.1,10764.0
Siraha,Maize,4.8,16374.0
Siraha,Millet,1.49,6967.0
Siraha,Paddy,4.03,83362.5
Siraha,Pigeon Pea,0.95,413.0
Siraha,Potato,8.88,26596.0
Siraha,Soybean,1.51,30.0
Siraha,Sugarcane,51.0,182325.0
Siraha,Wheat,3.71,52896.0
Solukhumbu,Barley,1.07,177.21
Solukhumbu,Black Gram,1.01,43.3
Solukhumbu,Buckwheat,0.92,276.0
Solukhumbu,Maize,2.41,33184.0
Solukhumbu,Millet,1.34,2819.0
Solukhumbu,Paddy,2.73,3344.0
Solukhumbu,Potato,16.26,92600.0
Solukhumbu,Soybean,1.13,204.0
Solukhumbu,Wheat,1.99,5304.0
Sunsari,Black Gram,0.67,316.67
Sunsari,Buckwheat,1.04,258.0
Sunsari,Chickpea,1.37,145.22
Sunsari,Lentil,1.23,8306.54
Sunsari,Maize,5.2,55333.0
Sunsari,Millet,1.23,564.0
Sunsari,Paddy,4.97,120382.5
Sunsari,Pigeon Pea,0.87,189.26
Sunsari,Potato,16.08,47275.0
Sunsari,Soybean,1.18,65.0
Sunsari,Sugarcane,58.87,209283.0
Sunsari,Wheat,3.37,41298.0
Surkhet,Barley,1.83,870.0
Surkhet,Black Gram,1.14,285.0
Surkhet,Buckwheat,1.52,85.0
Surkhet,Chickpea,0.96,422.0
Surkhet,Lentil,1.02,1307.0
Surkhet,Maize,2.99,45475.0
Surkhet,Millet,1.48,2700.0
Surkhet,Paddy,4.96,31576.0
Surkhet,Pigeon Pea,1.0,5.0
Surkhet,Potato,18.06,24291.0
Surkhet,Soybean,1.22,399.0
Surkhet,Sugarcane,28.67,86.0
Surkhet,Wheat,2.83,34102.0
Syangja,Barley,0.83,5.0
Syangja,Black Gram,1.2,156.0
Syangja,Buckwheat,0.8,120.0
Syangja,Chickpea,1.1,11.0
Syangja,Lentil,0.91,81.0
Syangja,Maize,3.2,57754.0
Syangja,Millet,1.1,12305.0
Syangja,Paddy,4.3,30558.5
Syangja,Pigeon Pea,0.93,7.0
Syangja,Potato,18.1,19005.0
Syangja,Soybean,1.5,150.0
Syangja,Sugarcane,15.0,750.0
Syangja,Wheat,1.8,7515.0
Tanahun,Barley,1.18,4.0
Tanahun,Black Gram,0.81,2800.0
Tanahun,Buckwheat,1.02,127.0
Tanahun,Chickpea,1.0,4.0
Tanahun,Lentil,1.05,190.0
Tanahun,Maize,3.3,73243.0
Tanahun,Millet,1.16,7017.0
Tanahun,Paddy,4.26,18862.0
Tanahun,Pigeon Pea,0.93,14.0
Tanahun,Potato,18.33,34662.0
Tanahun,Soybean,1.13,350.0
Tanahun,Sugarcane,41.45,829.0
Tanahun,Wheat,2.51,2887.0
Taplejung,Barley,1.4,372.0
Taplejung,Black Gram,1.21,77.0
Taplejung,Buckwheat,1.1,130.0
Taplejung,Maize,3.56,39918.0
Taplejung,Millet,1.44,4270.0
Taplejung,Paddy,3.58,7982.0
Taplejung,Potato,18.0,76878.0
Taplejung,Soybean,0.89,170.0
Taplejung,Wheat,1.86,2786.0
Terhathum,Barley,1.17,58.6
Terhathum,Black Gram,0.87,663.5
Terhathum,Buckwheat,0.98,21.0
Terhathum,Lentil,1.62,45.26
Terhathum,Maize,2.81,36269.0
Terhathum,Millet,1.19,2521.0
Terhathum,Paddy,3.35,8388.5
Terhathum,Pigeon Pea,1.05,2.1
Terhathum,Potato,17.63,53577.0
Terhathum,Soybean,2.0,948.0
Terhathum,Wheat,1.99,2781.0
Udayapur,Barley,1.75,40.25
Udayapur,Black Gram,0.73,285.5
Udayapur,Buckwheat,1.12,20.0
Udayapur,Chickpea,1.39,189.32
Udayapur,Lentil,1.01,597.92
Udayapur,Maize,2.46,43891.0
Udayapur,Millet,1.97,5453.0
Udayapur,Paddy,4.3,29164.5
Udayapur,Pigeon Pea,1.03,188.6
Udayapur,Potato,14.5,14761.0
Udayapur,Soybean,1.24,485.0
Udayapur,Wheat,2.5,12825.0
