district,crop_name,avg_yield_mt_ha,avg_production_mt
Dang,Barley,1.99,29.9
Dang,Black Gram,1.08,62.0
Dang,Buckwheat,1.0,38.8
Dang,Chickpea,0.96,346.0
Dang,Lentil,0.94,14371.0
Dang,Maize,3.46,86475.0
Dang,Millet,1.0,19.0
Dang,Paddy,4.28,79564.5
Dang,Pigeon Pea,1.08,329.0
Dang,Potato,15.83,40488.0
Dang,Soybean,1.0,71.0
Dang,Sugarcane,43.68,1179.0
Dang,Wheat,3.1,35743.0
Darchula,Barley,1.19,1212.0
Darchula,Black Gram,0.73,124.0
Darchula,Buckwheat,0.86,54.0
Darchula,Lentil,0.71,25.0
Darchula,Maize,2.82,15618.0
Darchula,Millet,1.26,1531.0
Darchula,Paddy,2.6,9048.0
Darchula,Pigeon Pea,1.0,1.0
Darchula,Potato,16.71,12867.0
Darchula,Soybean,0.85,213.0
Darchula,Sugarcane,28.58,1286.0
Darchula,Wheat,1.91,11350.0
Dhading,Barley,0.89,191.0
Dhading,Black Gram,0.8,180.0
Dhading,Buckwheat,0.6,4.0
Dhading,Chickpea,0.8,4.0
Dhading,Lentil,0.8,2.0
Dhading,Maize,2.5,48250.0
Dhading,Millet,0.92,6762.0
Dhading,Paddy,3.7,25632.0
Dhading,Pigeon Pea,0.9,18.0
Dhading,Potato,15.0,29250.0
Dhading,Soybean,1.0,380.0
Dhading,Sugarcane,35.0,350.0
Dhading,Wheat,2.25,8145.0
Dhankuta,Barley,1.0,2.3
Dhankuta,Black Gram,0.92,662.0
Dhankuta,Buckwheat,1.13,4.0
Dhankuta,Chickpea,1.2,7.4
Dhankuta,Lentil,1.65,446.5
Dhankuta,Maize,3.38,45488.0
Dhankuta,Millet,1.14,8242.0
Dhankuta,Paddy,3.92,10531.0
Dhankuta,Pigeon Pea,1.0,3.0
Dhankuta,Potato,19.42,41141.0
Dhankuta,Soybean,1.59,310.0
Dhankuta,Sugarcane,22.08,1104.0
Dhankuta,Wheat,2.1,2720.0
Dhanusha,Barley,1.0,1.0
Dhanusha,Black Gram,1.06,270.0
Dhanusha,Chickpea,1.11,110.0
