district,crop_name,season,area_ha,production_mt,yield_mt_ha
Bhaktapur,Lentil,Annual,17.0,18.0,1.05
Bhaktapur,Maize,Annual,1839.0,9287.0,5.05
Bhaktapur,Millet,Annual,81.0,211.0,2.6
Bhaktapur,Paddy,Barkhe (Main),3719.0,20455.0,5.5
Bhaktapur,Potato,Annual,958.0,18710.0,19.53
Bhaktapur,Soybean,Annual,100.0,136.0,1.36
Bhaktapur,Wheat,Annual,1872.0,9678.0,5.17
Bhojpur,Barley,Annual,8.0,9.6,1.2
Bhojpur,Black Gram,Annual,140.0,126.0,0.9
Bhojpur,Buckwheat,Annual,28.0,23.0,0.82
Bhojpur,Lentil,Annual,15.0,18.0,1.2
Bhojpur,Maize,Annual,32825.0,78780.0,2.4
Bhojpur,Millet,Annual,5052.0,7578.0,1.5
Bhojpur,Paddy,Barkhe (Main),11147.0,32995.0,2.96
Bhojpur,Paddy,Chaite (Early),409.0,1800.0,4.4
Bhojpur,Potato,Annual,3272.0,56998.0,17.42
Bhojpur,Soybean,Annual,77.0,96.0,1.25
Bhojpur,Sugarcane,Annual,10.0,115.0,11.5
Bhojpur,Wheat,Annual,390.0,710.0,1.82
Chitwan,Black Gram,Annual,350.0,343.0,0.98
Chitwan,Buckwheat,Annual,85.0,94.0,1.1
Chitwan,Chickpea,Annual,9.0,11.0,1.27
Chitwan,Lentil,Annual,1538.0,2076.0,1.35
Chitwan,Maize,Annual,17110.0,68611.0,4.01
Chitwan,Millet,Annual,1050.0,1208.0,1.15
Chitwan,Paddy,Barkhe (Main),24150.0,94184.0,3.9
Chitwan,Paddy,Chaite (Early),5540.0,31024.0,5.6
Chitwan,Pigeon Pea,Annual,9.0,10.0,1.1
Chitwan,Potato,Annual,1990.0,39676.0,19.94
Chitwan,Soybean,Annual,310.0,471.0,1.52
Chitwan,Sugarcane,Annual,52.0,1170.0,22.5
Chitwan,Wheat,Annual,4711.0,15593.0,3.31
Dadeldhura,Barley,Annual,200.0,171.0,0.85
Dadeldhura,Black Gram,Annual,202.0,198.0,0.98
Dadeldhura,Buckwheat,Annual,2.0,1.0,0.63
Dadeldhura,Lentil,Annual,235.0,258.0,1.1
Dadeldhura,Maize,Annual,3800.0,10000.0,2.63
Dadeldhura,Millet,Annual,335.0,569.0,1.7
Dadeldhura,Paddy,Barkhe (Main),3780.0,11264.0,2.98
Dadeldhura,Potato,Annual,1550.0,30830.0,19.89
Dadeldhura,Soybean,Annual,426.0,523.0,1.23
Dadeldhura,Sugarcane,Annual,15.0,347.0,23.13
Dadeldhura,Wheat,Annual,7590.0,16678.0,2.2
Dailekh,Barley,Annual,181.0,230.0,1.27
Dailekh,Black Gram,Annual,82.0,62.0,0.76
Dailekh,Buckwheat,Annual,27.0,26.0,0.98
Dailekh,Chickpea,Annual,470.0,541.0,1.15
Dailekh,Lentil,Annual,320.0,275.0,0.86
Dailekh,Maize,Annual,19120.0,45310.0,2.37
Dailekh,Millet,Annual,1950.0,2541.0,1.3
Dailekh,Paddy,Barkhe (Main),7925.0,26470.0,3.34
Dailekh,Pigeon Pea,Annual,1.0,1.0,1.0
Dailekh,Potato,Annual,1924.0,33458.0,17.39
Dailekh,Soybean,Annual,260.0,213.0,0.82
Dailekh,Sugarcane,Annual,4.0,135.0,33.75
Dailekh,Wheat,Annual,13175.0,17274.0,1.31
Dang,Barley,Annual,15.0,29.9,1.99
Dang,Black Gram,Annual,57.0,62.0,1.08
Dang,Buckwheat,Annual,32.0,38.8,1.0
Dang,Chickpea,Annual,361.0,346.0,0.96
Dang,Lentil,Annual,15230.0,14371.0,0.94
Dang,Maize,Annual,24985.0,86475.0,3.46
Dang,Millet,Annual,14.0,19.0,1.0
Dang,Paddy,Barkhe (Main),35184.0,158328.0,4.5
Dang,Paddy,Chaite (Early),198.0,801.0,4.05
Dang,Pigeon Pea,Annual,304.0,329.0,1.08
Dang,Potato,Annual,2557.0,40488.0,15.83
Dang,Soybean,Annual,55.0,71.0,1.0
Dang,Sugarcane,Annual,27.0,1179.0,43.68
Dang,Wheat,Annual,11530.0,35743.0,3.1
Darchula,Barley,Annual,1018.0,1212.0,1.19
Darchula,Black Gram,Annual,170.0,124.0,0.73
Darchula,Buckwheat,Annual,63.0,54.0,0.86
Darchula,Lentil,Annual,35.0,25.0,0.71
Darchula,Maize,Annual,5538.0,15618.0,2.82
Darchula,Millet,Annual,1215.0,1531.0,1.26
Darchula,Paddy,Barkhe (Main),3480.0,9048.0,2.6
Darchula,Pigeon Pea,Annual,1.0,1.0,1.0
Darchula,Potato,Annual,770.0,12867.0,16.71
Darchula,Soybean,Annual,250.0,213.0,0.85
Darchula,Sugarcane,Annual,45.0,1286.0,28.58
Darchula,Wheat,Annual,5950.0,11350.0,1.91
Dhading,Barley,Annual,215.0,191.0,0.89
Dhading,Black Gram,Annual,225.0,180.0,0.8
Dhading,Buckwheat,Annual,7.0,4.0,0.6
Dhading,Chickpea,Annual,5.0,4.0,0.8
Dhading,Lentil,Annual,3.0,2.0,0.8
Dhading,Maize,Annual,19300.0,48250.0,2.5
Dhading,Millet,Annual,7350.0,6762.0,0.92
Dhading,Paddy,Barkhe (Main),11567.0,42798.0,3.7
Dhading,Paddy,Chaite (Early),2288.0,8466.0,3.7
Dhading,Pigeon Pea,Annual,20.0,18.0,0.9
Dhading,Potato,Annual,1950.0,29250.0,15.0
Dhading,Soybean,Annual,380.0,380.0,1.0
Dhading,Sugarcane,Annual,10.0,350.0,35.0
Dhading,Wheat,Annual,3620.0,8145.0,2.25
Dhankuta,Barley,Annual,2.3,2.3,1.0
Dhankuta,Black Gram,Annual,432.0,662.0,0.92
Dhankuta,Buckwheat,Annual,4.0,4.0,1.13
Dhankuta,Chickpea,Annual,6.0,7.4,1.2
Dhankuta,Lentil,Annual,270.0,446.5,1.65
Dhankuta,Maize,Annual,13470.0,45488.0,3.38
Dhankuta,Millet,Annual,7230.0,8242.0,1.14
Dhankuta,Paddy,Barkhe (Main),4445.0,14802.0,3.33
Dhankuta,Paddy,Chaite (Early),1385.0,6260.0,4.52
Dhankuta,Pigeon Pea,Annual,3.0,3.0,1.0
Dhankuta,Potato,Annual,2118.0,41141.0,19.42
Dhankuta,Soybean,Annual,195.0,310.0,1.59
Dhankuta,Sugarcane,Annual,50.0,1104.0,22.08
Dhankuta,Wheat,Annual,1295.0,2720.0,2.1
Dhanusha,Barley,Annual,1.0,1.0,1.0
Dhanusha,Black Gram,Annual,255.0,270.0,1.06
Dhanusha,Chickpea,Annual,99.0,110.0,1.11
Dhanusha,Lentil,Annual,5240.0,5100.0,0.97
Dhanusha,Maize,Annual,3350.0,9515.0,2.84
Dhanusha,Millet,Annual,310.0,370.0,1.19
Dhanusha,Paddy,Barkhe (Main),42235.0,118258.0,2.8
Dhanusha,Paddy,Chaite (Early),830.0,3060.0,3.69
Dhanusha,Pigeon Pea,Annual,1100.0,1115.0,1.01
Dhanusha,Potato,Annual,5340.0,66750.0,12.5
Dhanusha,Soybean,Annual,312.0,422.0,1.35
Dhanusha,Sugarcane,Annual,3610.0,155230.0,43.0
Dhanusha,Wheat,Annual,33500.0,97150.0,2.9
Dolakha,Barley,Annual,134.0,162.0,1.21
Dolakha,Black Gram,Annual,144.0,140.0,0.97
Dolakha,Buckwheat,Annual,1052.0,1157.0,1.1
Dolakha,Chickpea,Annual,7.0,5.0,0.75
Dolakha,Lentil,Annual,20.0,18.0,0.91
Dolakha,Maize,Annual,6171.0,22030.0,3.57
Dolakha,Millet,Annual,3657.0,4864.0,1.33
Dolakha,Paddy,Barkhe (Main),2750.0,7150.0,2.6
Dolakha,Paddy,Chaite (Early),45.0,135.0,3.0
Dolakha,Pigeon Pea,Annual,2.0,2.0,1.0
Dolakha,Potato,Annual,3072.0,56003.0,18.23
Dolakha,Soybean,Annual,355.0,490.0,1.38
Dolakha,Wheat,Annual,4242.0,7508.0,1.77
Dolpa,Barley,Annual,325.0,312.0,0.96
Dolpa,Black Gram,Annual,1.0,1.0,0.62
Dolpa,Buckwheat,Annual,805.0,997.0,1.24
Dolpa,Lentil,Annual,2.0,2.0,1.0
Dolpa,Maize,Annual,2159.0,3750.0,1.74
Dolpa,Millet,Annual,294.0,305.0,1.04
Dolpa,Paddy,Barkhe (Main),199.0,342.0,1.72
Dolpa,Potato,Annual,715.0,12891.0,18.03
Dolpa,Soybean,Annual,32.0,62.0,1.94
Dolpa,Wheat,Annual,2275.0,4165.0,1.83
Doti,Barley,Annual,210.0,181.0,0.86
Doti,Black Gram,Annual,360.0,342.0,0.95
Doti,Buckwheat,Annual,5.0,4.0,0.75
Doti,Lentil,Annual,530.0,636.0,1.2
Doti,Maize,Annual,3650.0,10622.0,2.91
Doti,Millet,Annual,4350.0,5264.0,1.21
