district,crop_name,season,area_ha,production_mt,yield_mt_ha
Mahottari,Chickpea,Annual,110.0,132.0,1.2
Mahottari,Lentil,Annual,4500.0,4950.0,1.1
Mahottari,Maize,Annual,5000.0,22500.0,4.5
Mahottari,Millet,Annual,350.0,385.0,1.0
Mahottari,Paddy,Barkhe (Main),40250.0,123568.0,3.07
Mahottari,Paddy,Chaite (Early),451.0,1914.0,4.24
Mahottari,Pigeon Pea,Annual,810.0,932.0,1.15
Mahottari,Potato,Annual,4000.0,64000.0,16.0
Mahottari,Soybean,Annual,55.0,80.0,1.46
Mahottari,Sugarcane,Annual,6200.0,341000.0,55.0
Mahottari,Wheat,Annual,29100.0,97951.0,3.37
Makwanpur,Black Gram,Annual,355.0,405.0,1.14
Makwanpur,Buckwheat,Annual,1050.0,1365.0,1.3
Makwanpur,Chickpea,Annual,26.0,29.0,1.12
Makwanpur,Lentil,Annual,247.0,331.0,1.34
Makwanpur,Maize,Annual,19069.0,64072.0,3.36
Makwanpur,Millet,Annual,5550.0,7382.0,1.33
Makwanpur,Paddy,Barkhe (Main),9638.0,35661.0,3.7
Makwanpur,Paddy,Chaite (Early),2530.0,10626.0,4.2
Makwanpur,Pigeon Pea,Annual,5.0,7.0,1.3
Makwanpur,Potato,Annual,2872.0,58014.0,20.2
Makwanpur,Soybean,Annual,1353.0,1921.0,1.42
Makwanpur,Sugarcane,Annual,6.0,192.0,32.0
Makwanpur,Wheat,Annual,1704.0,4976.0,2.92
Manang,Barley,Annual,50.0,102.0,2.04
Manang,Buckwheat,Annual,296.0,295.0,1.0
Manang,Chickpea,Annual,2.0,2.0,1.0
Manang,Lentil,Annual,2.0,2.0,1.0
Manang,Maize,Annual,135.0,267.0,1.98
Manang,Millet,Annual,2.0,2.0,1.0
Manang,Potato,Annual,740.0,9215.0,12.45
Manang,Soybean,Annual,8.0,9.0,1.13
Manang,Wheat,Annual,110.0,231.0,2.1
Morang,Black Gram,Annual,750.0,562.5,0.75
Morang,Buckwheat,Annual,55.0,62.0,1.13
Morang,Chickpea,Annual,245.0,294.0,1.2
Morang,Lentil,Annual,1216.0,1725.3,1.42
Morang,Maize,Annual,20452.0,141119.0,6.9
Morang,Millet,Annual,1320.0,1637.0,1.24
Morang,Paddy,Barkhe (Main),69817.0,335122.0,4.8
Morang,Paddy,Chaite (Early),17670.0,98952.0,5.6
Morang,Pigeon Pea,Annual,340.0,340.0,1.0
Morang,Potato,Annual,6060.0,90900.0,15.0
Morang,Soybean,Annual,409.0,703.0,1.72
Morang,Sugarcane,Annual,1833.0,108789.0,59.35
Morang,Wheat,Annual,11960.0,35880.0,3.0
Mugu,Barley,Annual,512.0,910.0,1.78
Mugu,Black Gram,Annual,22.0,22.0,1.0
Mugu,Buckwheat,Annual,608.0,653.0,1.07
Mugu,Maize,Annual,1222.0,2139.0,1.75
Mugu,Millet,Annual,2125.0,4196.0,1.97
Mugu,Paddy,Barkhe (Main),591.0,1005.0,1.7
Mugu,Pigeon Pea,Annual,3.0,3.0,1.0
Mugu,Potato,Annual,715.0,11261.0,15.75
Mugu,Soybean,Annual,37.0,37.0,1.0
Mugu,Wheat,Annual,1757.0,3272.0,1.86
Mustang,Barley,Annual,44.0,91.0,2.07
Mustang,Buckwheat,Annual,130.0,247.0,1.9
Mustang,Maize,Annual,41.0,61.0,1.48
Mustang,Potato,Annual,461.0,8476.0,18.38
Mustang,Wheat,Annual,115.0,430.0,3.73
Myagdi,Barley,Annual,250.0,360.0,1.44
Myagdi,Black Gram,Annual,80.0,84.0,1.05
Myagdi,Buckwheat,Annual,150.0,165.0,1.1
Myagdi,Lentil,Annual,8.0,7.0,0.88
Myagdi,Maize,Annual,9200.0,28520.0,3.1
Myagdi,Millet,Annual,2450.0,3400.0,1.39
Myagdi,Paddy,Barkhe (Main),3806.0,13702.0,3.6
Myagdi,Pigeon Pea,Annual,20.0,24.0,1.2
Myagdi,Potato,Annual,1700.0,27000.0,15.88
Myagdi,Soybean,Annual,540.0,700.0,1.3
Myagdi,Wheat,Annual,2310.0,5336.0,2.31
Nawalparasi East,Barley,Annual,138.0,172.0,1.25
Nawalparasi East,Black Gram,Annual,149.0,137.0,0.92
Nawalparasi East,Buckwheat,Annual,93.0,92.0,0.99
Nawalparasi East,Chickpea,Annual,99.0,119.0,1.2
Nawalparasi East,Lentil,Annual,4144.0,4954.0,1.2
Nawalparasi East,Maize,Annual,4562.0,13585.0,2.98
Nawalparasi East,Millet,Annual,257.0,305.0,1.19
Nawalparasi East,Paddy,Barkhe (Main),18716.0,77865.0,4.16
Nawalparasi East,Paddy,Chaite (Early),1210.0,6123.0,5.06
Nawalparasi East,Pigeon Pea,Annual,218.0,112.0,0.51
Nawalparasi East,Potato,Annual,3205.0,58413.0,18.23
Nawalparasi East,Soybean,Annual,92.0,83.0,0.9
Nawalparasi East,Sugarcane,Annual,235.0,10810.0,46.0
Nawalparasi East,Wheat,Annual,7028.0,20240.0,2.88
Nawalparasi West,Barley,Annual,9.0,10.7,1.19
Nawalparasi West,Black Gram,Annual,49.0,46.0,0.93
Nawalparasi West,Buckwheat,Annual,4.0,4.3,1.08
Nawalparasi West,Chickpea,Annual,81.0,89.0,1.1
Nawalparasi West,Lentil,Annual,3235.0,3199.0,0.99
Nawalparasi West,Maize,Annual,3901.0,15597.0,4.0
Nawalparasi West,Millet,Annual,38.0,40.0,1.04
Nawalparasi West,Paddy,Barkhe (Main),19885.0,91471.0,4.6
Nawalparasi West,Paddy,Chaite (Early),5.0,23.0,4.66
Nawalparasi West,Pigeon Pea,Annual,195.0,182.0,0.93
Nawalparasi West,Potato,Annual,1702.0,25190.0,14.8
Nawalparasi West,Soybean,Annual,41.0,57.0,1.38
Nawalparasi West,Sugarcane,Annual,3450.0,163254.0,47.32
Nawalparasi West,Wheat,Annual,8595.0,27246.0,3.17
Nuwakot,Barley,Annual,153.0,193.0,1.26
Nuwakot,Black Gram,Annual,179.0,167.0,0.93
Nuwakot,Buckwheat,Annual,219.0,230.0,1.05
Nuwakot,Chickpea,Annual,28.0,23.0,0.82
Nuwakot,Lentil,Annual,46.0,46.0,1.0
Nuwakot,Maize,Annual,16217.0,49462.0,3.05
Nuwakot,Millet,Annual,5114.0,7262.0,1.42
Nuwakot,Paddy,Barkhe (Main),11612.0,46136.0,3.97
Nuwakot,Paddy,Chaite (Early),6255.0,27397.0,4.38
Nuwakot,Pigeon Pea,Annual,3.0,2.0,0.67
Nuwakot,Potato,Annual,4490.0,81572.0,18.17
Nuwakot,Soybean,Annual,415.0,699.0,1.68
Nuwakot,Sugarcane,Annual,52.0,1170.0,22.5
Nuwakot,Wheat,Annual,4493.0,16040.0,3.57
Okhaldhunga,Barley,Annual,80.0,125.0,1.56
Okhaldhunga,Black Gram,Annual,573.0,530.0,0.92
Okhaldhunga,Buckwheat,Annual,93.0,79.0,0.85
Okhaldhunga,Lentil,Annual,7.0,3.15,0.45
Okhaldhunga,Maize,Annual,12400.0,42160.0,3.4
Okhaldhunga,Millet,Annual,7751.0,12517.0,1.61
Okhaldhunga,Paddy,Barkhe (Main),3803.0,9508.0,2.5
Okhaldhunga,Paddy,Chaite (Early),245.0,1036.0,4.23
Okhaldhunga,Potato,Annual,2944.0,46220.0,15.7
Okhaldhunga,Soybean,Annual,128.0,140.0,1.09
Okhaldhunga,Sugarcane,Annual,4.0,32.0,9.0
Okhaldhunga,Wheat,Annual,2145.0,4076.0,1.9
Palpa,Barley,Annual,110.0,124.3,1.13
Palpa,Black Gram,Annual,55.0,51.0,0.92
Palpa,Buckwheat,Annual,210.0,233.1,1.11
Palpa,Chickpea,Annual,45.0,41.0,0.92
Palpa,Lentil,Annual,115.0,106.0,0.92
Palpa,Maize,Annual,21862.0,75661.0,3.46
Palpa,Millet,Annual,2363.0,3101.0,1.31
Palpa,Paddy,Barkhe (Main),7389.0,33620.0,4.55
Palpa,Paddy,Chaite (Early),700.0,2240.0,3.2
Palpa,Pigeon Pea,Annual,37.0,33.0,0.88
Palpa,Potato,Annual,810.0,12336.0,15.23
Palpa,Soybean,Annual,311.0,386.0,1.24
Palpa,Sugarcane,Annual,5.0,240.0,47.9
Palpa,Wheat,Annual,5765.0,16430.0,2.85
Panchthar,Barley,Annual,302.0,393.0,1.3
Panchthar,Black Gram,Annual,721.0,793.1,1.1
Panchthar,Buckwheat,Annual,50.0,37.0,0.74
Panchthar,Chickpea,Annual,21.0,14.91,0.71
Panchthar,Lentil,Annual,405.0,477.9,1.18
Panchthar,Maize,Annual,18808.0,67709.0,3.6
Panchthar,Millet,Annual,3208.0,6416.0,2.0
Panchthar,Paddy,Barkhe (Main),5615.0,13308.0,2.37
Panchthar,Paddy,Chaite (Early),2184.0,9828.0,4.5
Panchthar,Pigeon Pea,Annual,7.5,8.25,1.1
Panchthar,Potato,Annual,2526.0,43396.0,17.18
Panchthar,Soybean,Annual,625.0,813.0,1.3
Panchthar,Sugarcane,Annual,3.0,25.0,10.0
Panchthar,Wheat,Annual,3725.0,6035.0,1.62
Parbat,Barley,Annual,53.0,54.0,1.02
Parbat,Black Gram,Annual,130.0,133.0,1.02
Parbat,Buckwheat,Annual,81.0,100.0,1.23
Parbat,Chickpea,Annual,17.0,17.0,1.0
Parbat,Lentil,Annual,62.0,69.0,1.11
Parbat,Maize,Annual,13600.0,33120.0,2.44
Parbat,Millet,Annual,7340.0,7850.0,1.07
Parbat,Paddy,Barkhe (Main),7525.0,26120.0,3.47
Parbat,Paddy,Chaite (Early),100.0,480.0,4.8
Parbat,Pigeon Pea,Annual,9.0,9.0,1.0
Parbat,Potato,Annual,1390.0,20330.0,14.63
Parbat,Soybean,Annual,91.0,94.0,1.03
Parbat,Wheat,Annual,2220.0,5220.0,2.35
Parsa,Barley,Annual,28.0,37.0,1.3
Parsa,Black Gram,Annual,80.0,80.0,1.0
Parsa,Chickpea,Annual,245.0,296.0,1.21
Parsa,Lentil,Annual,4210.0,5220.0,1.24
Parsa,Maize,Annual,3890.0,15599.0,4.01
Parsa,Millet,Annual,407.0,440.0,1.0
Parsa,Paddy,Barkhe (Main),47130.0,197946.0,4.2
Parsa,Paddy,Chaite (Early),3500.0,18900.0,5.4
Parsa,Pigeon Pea,Annual,189.0,206.0,1.09
Parsa,Potato,Annual,3309.0,57378.0,17.34
Parsa,Soybean,Annual,18.0,25.0,1.41
Parsa,Sugarcane,Annual,3121.0,168565.0,54.01
Parsa,Wheat,Annual,23020.0,85865.0,3.73
Pyuthan,Barley,Annual,544.0,587.5,1.08
Pyuthan,Black Gram,Annual,315.0,296.0,0.94
Pyuthan,Buckwheat,Annual,61.0,66.7,1.09
Pyuthan,Chickpea,Annual,75.0,81.0,1.08
Pyuthan,Lentil,Annual,136.0,127.0,0.93
Pyuthan,Maize,Annual,12140.0,40097.0,3.3
Pyuthan,Millet,Annual,1885.0,2488.0,1.32
Pyuthan,Paddy,Barkhe (Main),6460.0,23772.0,3.68
Pyuthan,Paddy,Chaite (Early),40.0,180.0,4.5
Pyuthan,Potato,Annual,1680.0,26621.0,15.85
Pyuthan,Soybean,Annual,251.0,329.0,1.31
Pyuthan,Sugarcane,Annual,10.0,487.0,48.67
Pyuthan,Wheat,Annual,8651.0,25087.0,2.9
Ramechhap,Barley,Annual,61.0,82.0,1.35
Ramechhap,Black Gram,Annual,119.0,121.0,1.02
Ramechhap,Buckwheat,Annual,18.0,15.0,0.83
Ramechhap,Chickpea,Annual,32.0,23.0,0.71
Ramechhap,Lentil,Annual,36.0,37.0,1.04
Ramechhap,Maize,Annual,22169.0,64290.0,2.9
Ramechhap,Millet,Annual,4886.0,5472.0,1.12
Ramechhap,Paddy,Barkhe (Main),7889.0,19407.0,2.46
Ramechhap,Paddy,Chaite (Early),65.0,202.0,3.11
Ramechhap,Pigeon Pea,Annual,3.0,2.0,0.5
Ramechhap,Potato,Annual,3286.0,50210.0,15.28
Ramechhap,Soybean,Annual,827.0,1075.0,1.3
Ramechhap,Wheat,Annual,3677.0,8163.0,2.22
Rasuwa,Barley,Annual,242.0,329.0,1.36
Rasuwa,Black Gram,Annual,155.0,157.0,1.01
Rasuwa,Buckwheat,Annual,21.0,19.0,0.9
Rasuwa,Chickpea,Annual,192.0,211.0,1.1
Rasuwa,Lentil,Annual,247.0,245.0,0.99
Rasuwa,Maize,Annual,2530.0,6401.0,2.53
Rasuwa,Millet,Annual,897.0,1014.0,1.13
Rasuwa,Paddy,Barkhe (Main),1093.0,2197.0,2.01
Rasuwa,Paddy,Chaite (Early),153.0,572.0,3.74
Rasuwa,Pigeon Pea,Annual,2.0,2.0,1.0
Rasuwa,Potato,Annual,2629.0,42466.0,16.15
Rasuwa,Soybean,Annual,366.0,500.0,1.37
Rasuwa,Wheat,Annual,760.0,1231.0,1.62
Rautahat,Barley,Annual,2.0,3.0,1.5
Rautahat,Black Gram,Annual,10.0,11.0,1.06
Rautahat,Chickpea,Annual,150.0,210.0,1.4
Rautahat,Lentil,Annual,15600.0,17900.0,1.15
Rautahat,Maize,Annual,4950.0,20700.0,4.18
Rautahat,Millet,Annual,25.0,25.0,1.0
Rautahat,Paddy,Barkhe (Main),35632.0,114022.0,3.2
Rautahat,Paddy,Chaite (Early),1202.0,4891.0,4.07
Rautahat,Pigeon Pea,Annual,60.0,63.0,1.04
Rautahat,Potato,Annual,2200.0,41060.0,18.66
Rautahat,Soybean,Annual,3.0,4.0,1.42
Rautahat,Sugarcane,Annual,2825.0,171200.0,60.61
Rautahat,Wheat,Annual,14800.0,58200.0,3.93
Rolpa,Barley,Annual,540.0,637.2,1.18
Rolpa,Black Gram,Annual,148.0,138.0,0.93
Rolpa,Buckwheat,Annual,91.0,97.3,1.07
Rolpa,Chickpea,Annual,29.0,23.0,0.78
Rolpa,Lentil,Annual,76.0,59.0,0.78
Rolpa,Maize,Annual,12700.0,39724.0,3.13
Rolpa,Millet,Annual,1236.0,1618.0,1.31
Rolpa,Paddy,Barkhe (Main),4545.0,12993.0,2.86
Rolpa,Pigeon Pea,Annual,5.0,5.0,0.9
Rolpa,Potato,Annual,2085.0,35109.0,16.84
Rolpa,Soybean,Annual,301.0,379.0,1.26
Rolpa,Sugarcane,Annual,3.0,135.0,45.07
Rolpa,Wheat,Annual,8490.0,21225.0,2.5
Rukum East,Barley,Annual,570.0,737.0,1.29
Rukum East,Black Gram,Annual,71.0,70.0,0.98
Rukum East,Buckwheat,Annual,45.0,52.0,1.16
Rukum East,Chickpea,Annual,14.0,11.0,0.81
Rukum East,Lentil,Annual,70.0,64.0,0.92
Rukum East,Maize,Annual,5048.0,16641.0,3.3
Rukum East,Millet,Annual,350.0,458.0,1.31
Rukum East,Paddy,Barkhe (Main),820.0,2558.0,3.12
Rukum East,Pigeon Pea,Annual,1.0,1.0,0.8
Rukum East,Potato,Annual,1125.0,19077.0,16.96
Rukum East,Soybean,Annual,151.0,183.0,1.21
Rukum East,Sugarcane,Annual,2.0,87.0,43.45
Rukum East,Wheat,Annual,3213.0,9285.0,2.89
Rukum West,Barley,Annual,310.0,510.0,1.65
Rukum West,Black Gram,Annual,81.0,72.0,0.89
Rukum West,Buckwheat,Annual,25.0,28.0,1.12
Rukum West,Chickpea,Annual,38.0,45.0,1.18
Rukum West,Lentil,Annual,155.0,110.0,0.71
Rukum West,Maize,Annual,8900.0,35340.0,3.97
Rukum West,Millet,Annual,455.0,625.0,1.37
Rukum West,Paddy,Barkhe (Main),3048.0,9449.0,3.1
Rukum West,Pigeon Pea,Annual,4.0,5.0,1.25
Rukum West,Potato,Annual,713.0,14317.0,20.08
Rukum West,Soybean,Annual,78.0,84.0,1.08
Rukum West,Sugarcane,Annual,5.0,106.0,21.2
Rukum West,Wheat,Annual,9080.0,21713.0,2.39
Rupandehi,Barley,Annual,65.0,105.5,1.62
Rupandehi,Black Gram,Annual,56.0,62.0,1.1
Rupandehi,Chickpea,Annual,118.0,105.0,0.89
Rupandehi,Lentil,Annual,5420.0,5280.0,0.97
Rupandehi,Maize,Annual,2639.0,10985.0,4.16
Rupandehi,Millet,Annual,28.0,32.0,1.16
Rupandehi,Paddy,Barkhe (Main),60322.0,278084.0,4.61
Rupandehi,Paddy,Chaite (Early),60.0,290.0,4.83
Rupandehi,Pigeon Pea,Annual,345.0,323.0,0.93
Rupandehi,Potato,Annual,2495.0,39421.0,15.8
Rupandehi,Soybean,Annual,13.0,16.0,1.23
Rupandehi,Sugarcane,Annual,348.0,16161.0,46.44
Rupandehi,Wheat,Annual,27356.0,108490.0,3.97
Salyan,Barley,Annual,520.0,875.0,1.68
Salyan,Black Gram,Annual,130.0,156.0,1.2
Salyan,Buckwheat,Annual,30.0,27.0,0.9
Salyan,Chickpea,Annual,170.0,389.0,2.29
Salyan,Lentil,Annual,986.0,799.0,0.81
Salyan,Maize,Annual,17650.0,74700.0,4.23
Salyan,Millet,Annual,1010.0,1210.0,1.2
Salyan,Paddy,Barkhe (Main),6125.0,23275.0,3.8
Salyan,Paddy,Chaite (Early),7.0,33.0,4.71
Salyan,Pigeon Pea,Annual,2.0,3.0,1.29
Salyan,Potato,Annual,2335.0,26759.0,11.46
Salyan,Soybean,Annual,1680.0,2184.0,1.3
Salyan,Sugarcane,Annual,7.0,40.0,5.71
Salyan,Wheat,Annual,13125.0,28528.0,2.17
Sankhuwasabha,Barley,Annual,13.5,17.55,1.3
Sankhuwasabha,Black Gram,Annual,615.0,565.8,0.92
Sankhuwasabha,Buckwheat,Annual,17.0,22.0,1.35
Sankhuwasabha,Lentil,Annual,15.0,18.0,1.2
Sankhuwasabha,Maize,Annual,12460.0,30527.0,2.45
Sankhuwasabha,Millet,Annual,6669.0,8803.0,1.32
Sankhuwasabha,Paddy,Barkhe (Main),8068.0,20170.0,2.5
Sankhuwasabha,Paddy,Chaite (Early),2268.0,10206.0,4.5
Sankhuwasabha,Potato,Annual,2710.0,42005.0,15.5
Sankhuwasabha,Soybean,Annual,400.0,328.0,0.82
Sankhuwasabha,Sugarcane,Annual,55.0,1018.0,18.59
Sankhuwasabha,Wheat,Annual,714.0,1714.0,2.4
Saptari,Barley,Annual,79.0,79.0,1.0
Saptari,Black Gram,Annual,724.0,767.0,1.06
Saptari,Chickpea,Annual,913.0,876.0,0.96
Saptari,Lentil,Annual,7613.0,7232.0,0.95
Saptari,Maize,Annual,5150.0,18025.0,3.5
Saptari,Millet,Annual,210.0,273.0,1.3
Saptari,Paddy,Barkhe (Main),59315.0,189808.0,3.2
Saptari,Paddy,Chaite (Early),531.0,2533.0,4.77
Saptari,Pigeon Pea,Annual,811.0,787.0,0.97
Saptari,Potato,Annual,6473.0,77676.0,12.0
Saptari,Soybean,Annual,10.0,14.0,1.4
Saptari,Sugarcane,Annual,250.0,5000.0,20.0
Saptari,Wheat,Annual,19412.0,70543.0,3.63
Sarlahi,Barley,Annual,62.0,71.0,1.14
Sarlahi,Black Gram,Annual,350.0,343.0,0.98
Sarlahi,Chickpea,Annual,780.0,780.0,1.0
Sarlahi,Lentil,Annual,7887.0,8045.0,1.02
Sarlahi,Maize,Annual,11400.0,62700.0,5.5
Sarlahi,Millet,Annual,709.0,638.0,0.9
Sarlahi,Paddy,Barkhe (Main),45875.0,142213.0,3.1
Sarlahi,Paddy,Chaite (Early),450.0,2097.0,4.66
Sarlahi,Pigeon Pea,Annual,3120.0,3120.0,1.0
Sarlahi,Potato,Annual,2840.0,44616.0,15.71
Sarlahi,Soybean,Annual,20.0,27.0,1.36
Sarlahi,Sugarcane,Annual,12000.0,504000.0,42.0
Sarlahi,Wheat,Annual,23350.0,78456.0,3.36
Sindhuli,Barley,Annual,13.0,22.0,1.69
Sindhuli,Black Gram,Annual,386.0,346.0,0.9
Sindhuli,Buckwheat,Annual,365.0,621.0,1.7
Sindhuli,Chickpea,Annual,68.0,79.0,1.16
Sindhuli,Lentil,Annual,265.0,325.0,1.23
Sindhuli,Maize,Annual,25982.0,84701.0,3.26
Sindhuli,Millet,Annual,10842.0,11059.0,1.02
Sindhuli,Paddy,Barkhe (Main),11612.0,46448.0,4.0
Sindhuli,Paddy,Chaite (Early),1051.0,4320.0,4.11
Sindhuli,Pigeon Pea,Annual,82.0,105.0,1.28
Sindhuli,Potato,Annual,2621.0,47239.0,18.02
Sindhuli,Soybean,Annual,279.0,426.0,1.53
Sindhuli,Wheat,Annual,5208.0,13645.0,2.62
Sindhupalchok,Barley,Annual,150.0,141.0,0.94
Sindhupalchok,Black Gram,Annual,1250.0,1188.0,0.95
Sindhupalchok,Buckwheat,Annual,203.0,183.0,0.9
Sindhupalchok,Chickpea,Annual,170.0,179.0,1.05
Sindhupalchok,Lentil,Annual,200.0,198.0,0.99
Sindhupalchok,Maize,Annual,26691.0,85146.0,3.19
Sindhupalchok,Millet,Annual,17371.0,22756.0,1.31
Sindhupalchok,Paddy,Barkhe (Main),7142.0,20712.0,2.9
Sindhupalchok,Paddy,Chaite (Early),970.0,3938.0,4.06
Sindhupalchok,Potato,Annual,4220.0,80602.0,19.1
Sindhupalchok,Soybean,Annual,570.0,758.0,1.33
Sindhupalchok,Wheat,Annual,6687.0,11034.0,1.65
Siraha,Barley,Annual,95.0,152.0,1.06
Siraha,Black Gram,Annual,720.0,778.0,1.08
Siraha,Chickpea,Annual,460.0,529.0,1.15
Siraha,Lentil,Annual,9785.0,10764.0,1.1
Siraha,Maize,Annual,3411.0,16374.0,4.8
Siraha,Millet,Annual,645.0,6967.0,1.49
Siraha,Paddy,Barkhe (Main),45887.0,160605.0,3.5
Siraha,Paddy,Chaite (Early),1345.0,6120.0,4.55
Siraha,Pigeon Pea,Annual,435.0,413.0,0.95
Siraha,Potato,Annual,2995.0,26596.0,8.88
Siraha,Soybean,Annual,20.0,30.0,1.51
Siraha,Sugarcane,Annual,3575.0,182325.0,51.0
Siraha,Wheat,Annual,14250.0,52896.0,3.71
Solukhumbu,Barley,Annual,165.0,177.21,1.07
Solukhumbu,Black Gram,Annual,43.0,43.3,1.01
Solukhumbu,Buckwheat,Annual,301.0,276.0,0.92
Solukhumbu,Maize,Annual,13770.0,33184.0,2.41
Solukhumbu,Millet,Annual,2105.0,2819.0,1.34
Solukhumbu,Paddy,Barkhe (Main),1225.0,3344.0,2.73
Solukhumbu,Potato,Annual,5695.0,92600.0,16.26
Solukhumbu,Soybean,Annual,180.0,204.0,1.13
Solukhumbu,Wheat,Annual,2665.0,5304.0,1.99
Sunsari,Black Gram,Annual,476.0,316.67,0.67
Sunsari,Buckwheat,Annual,248.0,258.0,1.04
Sunsari,Chickpea,Annual,106.0,145.22,1.37
Sunsari,Lentil,Annual,6755.0,8306.54,1.23
Sunsari,Maize,Annual,10641.0,55333.0,5.2
Sunsari,Millet,Annual,458.0,564.0,1.23
Sunsari,Paddy,Barkhe (Main),48009.0,213160.0,4.44
Sunsari,Paddy,Chaite (Early),5010.0,27605.0,5.51
Sunsari,Pigeon Pea,Annual,217.0,189.26,0.87
Sunsari,Potato,Annual,2940.0,47275.0,16.08
Sunsari,Soybean,Annual,55.0,65.0,1.18
Sunsari,Sugarcane,Annual,3555.0,209283.0,58.87
Sunsari,Wheat,Annual,12248.0,41298.0,3.37
Surkhet,Barley,Annual,476.0,870.0,1.83
Surkhet,Black Gram,Annual,250.0,285.0,1.14
Surkhet,Buckwheat,Annual,56.0,85.0,1.52
Surkhet,Chickpea,Annual,440.0,422.0,0.96
Surkhet,Lentil,Annual,1281.0,1307.0,1.02
Surkhet,Maize,Annual,15225.0,45475.0,2.99
Surkhet,Millet,Annual,1830.0,2700.0,1.48
Surkhet,Paddy,Barkhe (Main),15060.0,62951.0,4.18
Surkhet,Paddy,Chaite (Early),35.0,201.0,5.74
Surkhet,Pigeon Pea,Annual,5.0,5.0,1.0
Surkhet,Potato,Annual,1345.0,24291.0,18.06
Surkhet,Soybean,Annual,327.0,399.0,1.22
Surkhet,Sugarcane,Annual,3.0,86.0,28.67
Surkhet,Wheat,Annual,12050.0,34102.0,2.83
Syangja,Barley,Annual,6.0,5.0,0.83
Syangja,Black Gram,Annual,130.0,156.0,1.2
Syangja,Buckwheat,Annual,150.0,120.0,0.8
Syangja,Chickpea,Annual,10.0,11.0,1.1
Syangja,Lentil,Annual,89.0,81.0,0.91
Syangja,Maize,Annual,18048.0,57754.0,3.2
Syangja,Millet,Annual,11186.0,12305.0,1.1
Syangja,Paddy,Barkhe (Main),14390.0,57560.0,4.0
Syangja,Paddy,Chaite (Early),775.0,3557.0,4.59
Syangja,Pigeon Pea,Annual,7.0,7.0,0.93
Syangja,Potato,Annual,1050.0,19005.0,18.1
Syangja,Soybean,Annual,100.0,150.0,1.5
Syangja,Sugarcane,Annual,50.0,750.0,15.0
Syangja,Wheat,Annual,4175.0,7515.0,1.8
Tanahun,Barley,Annual,4.0,4.0,1.18
Tanahun,Black Gram,Annual,3448.0,2800.0,0.81
Tanahun,Buckwheat,Annual,125.0,127.0,1.02
Tanahun,Chickpea,Annual,4.0,4.0,1.0
Tanahun,Lentil,Annual,181.0,190.0,1.05
Tanahun,Maize,Annual,22195.0,73243.0,3.3
Tanahun,Millet,Annual,6050.0,7017.0,1.16
Tanahun,Paddy,Barkhe (Main),7674.0,29238.0,3.81
Tanahun,Paddy,Chaite (Early),1805.0,8486.0,4.7
Tanahun,Pigeon Pea,Annual,15.0,14.0,0.93
Tanahun,Potato,Annual,1891.0,34662.0,18.33
Tanahun,Soybean,Annual,310.0,350.0,1.13
Tanahun,Sugarcane,Annual,20.0,829.0,41.45
Tanahun,Wheat,Annual,1150.0,2887.0,2.51
Taplejung,Barley,Annual,266.0,372.0,1.4
Taplejung,Black Gram,Annual,64.0,77.0,1.21
Taplejung,Buckwheat,Annual,118.0,130.0,1.1
Taplejung,Maize,Annual,11210.0,39918.0,3.56
Taplejung,Millet,Annual,2966.0,4270.0,1.44
Taplejung,Paddy,Barkhe (Main),5553.0,15826.0,2.85
Taplejung,Paddy,Chaite (Early),32.0,138.0,4.3
Taplejung,Potato,Annual,4271.0,76878.0,18.0
Taplejung,Soybean,Annual,192.0,170.0,0.89
Taplejung,Wheat,Annual,1498.0,2786.0,1.86
Terhathum,Barley,Annual,50.0,58.6,1.17
Terhathum,Black Gram,Annual,767.0,663.5,0.87
Terhathum,Buckwheat,Annual,21.0,21.0,0.98
Terhathum,Lentil,Annual,28.0,45.26,1.62
Terhathum,Maize,Annual,12907.0,36269.0,2.81
Terhathum,Millet,Annual,2120.0,2521.0,1.19
Terhathum,Paddy,Barkhe (Main),6549.0,15521.0,2.37
Terhathum,Paddy,Chaite (Early),290.0,1256.0,4.33
Terhathum,Pigeon Pea,Annual,2.0,2.1,1.05
Terhathum,Potato,Annual,3039.0,53577.0,17.63
Terhathum,Soybean,Annual,475.0,948.0,2.0
Terhathum,Wheat,Annual,1396.0,2781.0,1.99
Udayapur,Barley,Annual,23.0,40.25,1.75
Udayapur,Black Gram,Annual,391.1,285.5,0.73
Udayapur,Buckwheat,Annual,18.0,20.0,1.12
Udayapur,Chickpea,Annual,136.2,189.32,1.39
Udayapur,Lentil,Annual,592.0,597.92,1.01
Udayapur,Maize,Annual,17842.0,43891.0,2.46
Udayapur,Millet,Annual,2768.0,5453.0,1.97
Udayapur,Paddy,Barkhe (Main),12794.0,51176.0,4.0
Udayapur,Paddy,Chaite (Early),1555.0,7153.0,4.6
Udayapur,Pigeon Pea,Annual,183.1,188.6,1.03
Udayapur,Potato,Annual,1018.0,14761.0,14.5
Udayapur,Soybean,Annual,391.0,485.0,1.24
Udayapur,Wheat,Annual,5130.0,12825.0,2.5
